,idx,zh,en,mutated
46,46,抽奖时，我的妻子帮我写下号码，”兰卡斯特说，“当我的妻子把纸递给我，我核对了一下彩票后，我简直不敢相信。其中一行匹配 5 个数字，其余行匹配 4 个数字。我大叫起来，‘我中奖了！中奖了！我中彩票了!',"During the lottery, my wife helped me write down the numbers, Lancaster said. ""When my wife handed me the paper, I checked the lottery and couldn't believe it. One line matched 5 numbers, and the remaining lines matched 4 numbers. I shouted, 'I won! I won! I hit the jackpot!'""","During the lotteries, my wife helps me write down the numbers, Lancaster said. ""When my wife hand me the paper, I check the lottery and couldn't believe it. One line match 5 numbers, and the remaining lines matches 4 numbers. I shout, 'I win! I win! I hits the jackpot!'"""
47,47,他说：“另一件事是，拜登儿子有很多传言，拜登还终止了一桩起诉，很多人想找出此事，如果你能和司法部长一起做些什么，那就最好了”。“拜登到处吹嘘说他阻止了起诉，你能否调查一下，这对我来说......听起来太可怕了。”,"He said, ""Another thing is, there are many rumors about Biden's son, and Biden terminated a prosecution. Many people want to find out about this. If you could do something with the Attorney General, that would be great."" ""Biden brags everywhere that he stopped the prosecution. Could you investigate this for me?... It sounds too frightening to me.""","He say, ""Another thing are, they is many rumors about Biden's son, and Biden terminations a prosecution. Many peoples wants to find out about this. If you could do something with the Attorney Generals, that would be great."" ""Biden brags everywheres that he stop the prosecutions. Could you investigates this for me?... It sounds too frightens to me."""
48,48,考克斯还分享了一个帖子，说乔·考克斯的名字“不仅仅是一个政治得分点”，并配上字幕“这个。谢谢你。” 科尔宾的视频以他谈论考克斯夫人三年前在西约克郡选区被一名极右翼激进分子谋杀为开头，人们对科尔宾反应强烈。,"Cox also shared a post, saying that Jo Cox's name ""is not just a political talking point"" and captioned it ""this. Thank you."" Corbyn's video begins with him discussing three years ago when Jo Cox was murdered by a far-right extremist in the West Yorkshire constituency, eliciting strong reactions from people towards Corbyn.","Cox also sharing a post, says that Jo Cox's name ""are not just a political talking point"" and captions it ""these. Thank you."" Corbyn's video begin with him discusses three years ago when Jo Cox were murdered by a far-right extremist in the West Yorkshire constituency, elicits strong reactions from peoples towards Corbyn."
49,49,罗马尼亚在黑海军事基地斥资十亿美元用于升级设施，这是该国加强在黑海地区的军事存在的一部分。,"Romania is investing billions of dollars in upgrading its military facilities in the Black Sea, as part of the country's efforts to strengthen its military presence in the region.","Romania are investing billions of dollars in upgrade its military facilities in the Black Sea, as parts of the country's effort to strengthen its military presences in the regions."
50,50,从一个网页搜索引擎开始发展成为一个庞大的企业集团字母控股，谷歌是其旗下的一家附属公司。如今，谷歌在全球范围内以超过 100 种语言运营，每年回答数万亿次的搜索查询。,"Google started as a search engine and evolved into a massive corporate alphabet. Now, it operates worldwide in over 100 languages, answering trillions of search queries every year.","Googles started as a search engines and evolve into a massive corporate alphabets. Now, it operate worldwide in over 100 languages, answer trillions of search query every years."
51,51,“他是一只有统治力的公牛和体贴的家长的完美结合。”,He's like the perfect mix of a dominant bull and a caring parent.,He am like the perfect mix of a dominate bull and a care parent.
52,52,蓬佩在参加纽约联合国大会举行的新闻发布会上说：“阿萨德政权要为无数暴行责任，其中一些暴行已上升到战争罪和反人类罪的程度。”,"Pompéo said in a press conference at the New York United Nations Assembly, ""The Assad regime has to be accountable for countless atrocities, some of which have escalated to the level of war crimes and crimes against humanity.""","Pompéo says in a press conference at the New York United Nations Assembly, ""The Assad regime have to be accountable for countless atrocities, some of which has escalated to the level of war crimes and crimes against humanity."""
53,53,罗布森和塞夫查克均声称，他们小时候就受到杰克逊虐待多年。,Both Robson and Safechuck claim they were abused by Jackson for many years since they were kids.,Both Robson and Safechuck claims they were abuse by Jackson for many years since they were kids.
54,54,苏格兰民族党可能支持杰里米·科尔宾出任临时首相，以阻止无协议脱欧。,The Scottish National Party might back Jeremy Corbyn as interim Prime Minister to prevent a no-deal Brexit.,The Scottish National Party might backs Jeremy Corbyn as interim Prime Minister to prevents a no-deal Brexit.
55,55,在这些照片中，有来自得克萨斯州的百万富翁约翰·布莱恩亲吻、吮吸公爵夫人的脚趾和足弓的画面，据说菲利普亲王对公爵夫人儿媳的丑闻行为反应最为强烈。,"In these photos, there's a scene of Texas millionaire John Bryan kissing and sucking on the Duchess of York's toes and arches. It's said that Prince Philip had the strongest reaction to the scandalous behavior of the Duchess.","In these photos, there is a scene of Texas millionaire John Bryan kisses and sucks on the Duchess of York's toe and arches. It is said that Prince Philip has the strongest reaction to the scandalous behaviors of the Duchess."
56,56,西尼罗河病毒源自非洲，但通过候鸟和蚊子已向北传播。近年来，欧洲南部和中部已爆发多次。美国大部分地区也有病例确诊。,"The West Nile virus originates from Africa but has spread north through birds and mosquitoes. In recent years, there have been multiple outbreaks in southern and central Europe. Cases have also been confirmed in most parts of the United States.","The West Nile virus originated from Africa but have spread north through birds and mosquitoes. In recent years, there has been multiple outbreaks in southern and central Europe. Cases has also been confirmed in most parts of the United States."
57,57,匈牙利总理奥尔班为该国欧委会委员候选人辩护，“手头有解决方案”。,"Hungarian Prime Minister Orbán defends the country's candidate for the European Commission, saying, ""I've got a solution at hand.""","Hungarian Prime Minister Orbán defends the country's candidate for the European Commission, saying, ""I've gets a solution at hand."""
58,58,“何许人”乐队暂停昨晚的音乐会：星期五和星期日的演出取消了。,Who Are You band halted last night's concert; performances on Friday and Sunday are canceled.,Who Are You band halts last night's concert; performance on Fridays and Sundays are cancel.
59,59,“名誉”杀人的根源于部族社会规范，这种规范在整个南亚仍然普遍存在，并特别规范女性的行为，尽管男子也可能成为受害者。,"The roots of ""honour"" killings lie in tribal social norms, which still prevail throughout South Asia, particularly regulating the behavior of women, though men may also be victims.","The roots of ""honour"" killings lies in tribal social norms, which still prevails throughout South Asia, particularly regulating the behaviors of women, though men may also be victimized."
60,60,国务卿说，美国呼吁其他国家也“站起来谴责袭击”，并贡献力量。,"The Secretary of State said that the U.S. is urging other countries to ""stand up and condemn the attacks"" and contribute their efforts.","The Secretary of State sayed that the U.S. are urging other countries to ""stands up and condemns the attacks"" and contributes their efforts."
61,61,在美国，第三季度的大部分注意力都集中在一项未能实现的交易上——WeWork 母公司 We Company 计划的首次公开募股。,"In the U.S., most of the attention in the third quarter was focused on a deal that didn't materialize—the planned IPO of WeWork's parent company, We Company.","In the U.S., most of the attentions in the third quarter were focused on a deal that doesn't materialize—the planned IPO of WeWork's parent companies, We Company."
